		=== g++: Unexpected fails for rv32imac_zba_zbb_zbc_zbs ilp32 medlow  ===
FAIL: c-c++-common/analyzer/coreutils-group_number.c  -std=c++20 (test for excess errors)
FAIL: c-c++-common/analyzer/coreutils-group_number.c  -std=c++26 (test for excess errors)
FAIL: c-c++-common/analyzer/coreutils-group_number.c  -std=c++98 (test for excess errors)
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 181: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 183: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 185: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 187: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 189: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 192: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 200: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 202: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 204: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 205: expected branch percentages not found: 45
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 206: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 207: expected branch percentages not found: 40
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 208: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 210: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 212: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 214: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 215: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 254: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 257: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 260: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 261: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 262: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 266: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 269: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 271: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 272: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 273: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 275: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 276: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 279: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 33: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 39: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 41: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 55: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 58: is #####:should be 9
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 59: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 66: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 73: is #####:should be 81
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line 74: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 17
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 20 0 40 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 25
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 27
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 27 50 25
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 30
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 32
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 33
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 33
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 7
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++20  line n: expected branch percentages not found: 9 10 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  gcov: 60 failures in line counts, 24 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 100: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 102: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 103: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 105: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 113: is #####:should be 15
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 115: is #####:should be 14
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 116: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 118: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 141: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 142: expected branch percentages not found: 40
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 143: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 145: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 150: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 152: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 154: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 156: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 158: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 160: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 161: expected branch percentages not found: 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 162: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 164: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 165: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 173: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 175: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 177: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 181: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 183: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 185: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 187: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 189: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 192: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 200: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 202: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 204: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 205: expected branch percentages not found: 45
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 206: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 207: expected branch percentages not found: 40
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 208: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 210: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 212: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 214: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 215: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 254: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 257: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 260: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 261: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 262: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 266: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 269: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 271: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 272: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 273: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 275: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 276: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 279: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 33: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 39: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 41: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 55: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 58: is #####:should be 9
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 59: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 66: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 73: is #####:should be 81
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line 74: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 17
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 20 0 40 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 25
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 27
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 27 50 25
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 30
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 32
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 33
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 33
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 7
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++26  line n: expected branch percentages not found: 9 10 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  gcov: 60 failures in line counts, 24 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 100: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 102: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 103: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 105: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 113: is #####:should be 15
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 115: is #####:should be 14
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 116: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 118: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 141: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 142: expected branch percentages not found: 40
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 143: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 145: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 150: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 152: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 154: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 156: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 158: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 160: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 161: expected branch percentages not found: 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 162: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 164: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 165: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 173: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 175: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 177: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 181: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 183: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 185: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 187: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 189: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 192: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 200: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 202: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 204: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 205: expected branch percentages not found: 45
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 206: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 207: expected branch percentages not found: 40
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 208: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 210: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 212: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 214: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 215: is #####:should be 11
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 254: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 257: is #####:should be 5
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 260: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 261: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 262: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 266: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 269: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 271: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 272: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 273: is #####:should be 2
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 275: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 276: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 279: is #####:should be 4
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 33: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 39: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 41: is #####:should be 1
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 55: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 58: is #####:should be 9
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 59: is #####:should be 3
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 66: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 73: is #####:should be 81
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line 74: is #####:should be 6
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 0
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 17
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 20 0 40 20
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 25
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 27
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 27 50 25
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 30
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 32
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 33
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 33
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 50
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 7
FAIL: g++.dg/gcov/gcov-1.C  -std=gnu++98  line n: expected branch percentages not found: 9 10 11
FAIL: g++.dg/gcov/gcov-12.C  -std=gnu++20  gcov: 1 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-12.C  -std=gnu++20  line 8: is #####:should be 1
FAIL: g++.dg/gcov/gcov-12.C  -std=gnu++26  gcov: 1 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-12.C  -std=gnu++26  line 8: is #####:should be 1
FAIL: g++.dg/gcov/gcov-12.C  -std=gnu++98  gcov: 1 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-12.C  -std=gnu++98  line 8: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++20  gcov: 5 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++20  line 18: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++20  line 19: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++20  line 28: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++20  line 33: is =====:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++20  line 36: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++26  gcov: 5 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++26  line 18: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++26  line 19: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++26  line 28: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++26  line 33: is =====:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++26  line 36: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++98  gcov: 5 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++98  line 18: is #####:should be 1
FAIL: g++.dg/gcov/gcov-13.C  -std=gnu++98  line 19: is #####:should be 1
